date,crude_m3,crude_bbl,WCS_price,WTI_price
2016-01-01,"18,671,861","117,442,271",17.88,31.68
2016-02-01,"17,350,331","109,130,112",16.3,30.32
2016-03-01,"18,216,851","114,580,349",23.46,37.55
2016-04-01,"15,965,471","100,419,619",27.88,40.75
2016-05-01,"13,479,770","84,785,057",32.52,46.71
2016-06-01,"14,435,436","90,796,005",36.47,48.76
2016-07-01,"17,587,983","110,624,895",32.8,44.65
2016-08-01,"18,598,656","116,981,827",30.9,44.72
2016-09-01,"17,910,062","112,650,708",30.62,45.18
2016-10-01,"18,815,685","118,346,896",35.83,49.78
2016-11-01,"19,325,313","121,552,354",31.89,45.66
2016-12-01,"19,123,733","120,284,456",37.18,51.97
2017-01-01,"19,787,214","124,457,619",37.19,52.5
2017-02-01,"18,026,165","113,380,973",39.14,53.47
2017-03-01,"18,894,074","118,839,947",35.68,49.33
2017-04-01,"16,637,247","104,644,956",36.84,51.06
2017-05-01,"17,767,171","111,751,952",38.84,48.48
2017-06-01,"17,710,184","111,393,515",35.8,45.18
2017-07-01,"19,203,977","120,789,175",36.37,46.63
2017-08-01,"20,061,663","126,183,848",38.5,48.04
2017-09-01,"18,374,732","115,573,389",39.93,49.82
2017-10-01,"18,749,360","117,929,725",39.87,51.58
2017-11-01,"19,689,051","123,840,193",45.52,56.64
2017-12-01,"20,683,576","130,095,556",44.02,57.88
2018-01-01,"19,890,527","125,107,437",42.53,63.7
2018-02-01,"18,639,271","117,237,287",37.72,62.23
2018-03-01,"20,730,877","130,393,070",35.53,62.73
2018-04-01,"18,548,461","116,666,110",40.47,66.25
2018-05-01,"20,181,597","126,938,209",53.25,69.98
2018-06-01,"19,455,841","122,373,349",52.1,67.87
2018-07-01,"20,654,968","129,915,618",52.83,70.98
2018-08-01,"21,659,666","136,234,967",48.55,68.06
2018-09-01,"19,271,848","121,216,070",40.37,70.23
2018-10-01,"21,267,181","133,766,315",41.15,70.75
2018-11-01,"20,903,287","131,477,495",11.03,56.96
2018-12-01,"21,687,084","136,407,421",5.97,49.52
2019-01-01,"20,379,646","128,183,897",34.3,51.38
2019-02-01,"18,537,336","116,596,136",45.33,54.95
2019-03-01,"20,792,430","130,780,226",48.21,58.15
2019-04-01,"20,479,552","128,812,286",53.25,63.86
2019-05-01,"20,301,400","127,691,746",52.44,60.83
2019-06-01,"20,381,835","128,197,666",41.74,54.66
2019-07-01,"21,009,421","132,145,056",44.7,57.35
2019-08-01,"21,006,455","132,126,401",43.1,54.81
2019-09-01,"19,753,991","124,248,653",44.84,56.95
2019-10-01,"20,973,161","131,916,988",41.96,53.96
2019-11-01,"20,934,543","131,674,089",42.32,57.03
2019-12-01,"22,204,363","139,661,002",39.11,59.88
